duration,fpackets,bpackets,fbytes,bbytes,label,id
0.5085580349,24,19,3870,13807,18403,0
0.4898269176,18,13,2198,5354,18403,1
147.6123979092,108,126,24271,82981,17403,2
147.3169612885,615,728,58336,880828,18403,3
3.607462883,964,1259,83446,1757394,17403,4
0.3309309483,16,16,2084,5712,17403,5
146.1091980934,79,79,25469,12926,17403,6
59.8762431145,1162,3324,93091,4673317,17403,7
59.8760859966,586,1359,42505,1909808,17403,8
0.4031178951,46,52,4121,60564,13403,9
0.6059472561,79,79,15546,84460,13403,10
0.279378891,20,22,4104,8545,13403,11
0.9509680271,17,16,2207,11501,17403,12
0.2918870449,16,17,2196,5746,13403,13
0.4526667595,17,13,2262,5562,13403,14
0.7246620655,27,21,5388,9982,13403,15
0.3484449387,17,19,2173,9215,13403,16
0.4373171329,29,30,3078,29922,13403,17
0.3065209389,15,16,2178,6001,13403,18
4.1341905594,195,217,18152,253500,13403,19
0.3932876587,38,43,4269,35743,13403,20
0.4686090946,16,13,2404,5482,13403,21
14.8508560658,94,91,24577,46143,13403,22
14.5445590019,105,138,11337,131391,13403,23
0.4309020042,80,100,12127,89949,18403,24
0.4273159504,18,17,2897,5697,13403,25
0.455092907,18,15,2185,6995,13403,26
60.5183007717,1241,3279,112931,4605858,17403,27
7.9696199894,85,74,24270,17735,13403,28
156.7015528679,197,204,54922,113944,17403,29
156.4298849106,576,777,51842,913231,18403,30
11.2865059376,1405,2751,109156,3832318,17403,31
155.4294819832,82,82,29948,13506,17403,32
0.3008480072,15,16,2018,5711,17403,33
0.6632640362,22,20,3476,6594,13403,34
0.3437559605,36,43,4137,35135,13403,35
7.8875370026,225,186,44660,130380,18403,36
0.456400156,17,14,2710,5548,13403,37
0.4124848843,18,15,2185,6995,13403,38
0.4284827709,49,51,4319,60498,13403,39
0.5059499741,18,17,2265,7323,13403,40
0.5076122284,17,16,2211,11501,17403,41
1.0006408691,19,16,2337,11501,17403,42
0.4582870007,18,13,2198,5354,18403,43
48.386646986,1133,2946,77135,4154502,17403,44
0.3049910069,17,19,2173,9217,13403,45
141.0672609806,123,146,26342,82972,17403,46
140.7808258533,538,734,49876,889050,18403,47
4.4602823257,1209,1782,95360,2483580,17403,48
139.8156340122,68,69,23485,12075,17403,49
0.5330812931,15,16,2002,5711,17403,50
0.3603949547,38,43,4269,35134,13403,51
0.298469305,16,17,2617,5698,13403,52
0.2668390274,18,20,2206,9749,13403,53
0.4459168911,17,14,2132,5420,18403,54
0.4859030247,17,16,2210,11501,17403,55
0.3974118233,19,15,2426,5650,13403,56
0.4052569866,33,29,3342,29856,13403,57
0.2889261246,18,20,2239,9283,13403,58
0.2950599194,15,16,2018,5712,17403,59
147.518535614,110,137,22665,96916,17403,60
5.3418917656,598,751,56465,879856,18403,61
59.6039562225,2338,5502,178480,7737913,17403,62
190.2367448807,66,67,23897,11945,17403,63
0.4625630379,17,14,2502,5548,13403,64
73.7638437748,88,84,21766,45122,13403,65
3.4637038708,183,207,16109,252410,13403,66
182.627707243,136,177,17011,169315,18403,67
0.4368371964,19,15,2251,6995,13403,68
15.9079191685,85,112,9323,104212,13403,69
0.4252259731,18,14,2198,5420,18403,70
0.4264271259,50,52,4385,60564,13403,71
0.5945231915,72,79,15100,84513,13403,72
0.2908592224,19,19,3969,8346,13403,73
0.4456589222,30,30,3144,29923,13403,74
0.2730047703,16,19,2107,9216,13403,75
0.4880619049,17,16,2209,11501,17403,76
3.8548691273,55,68,6610,55457,17403,77
3.3346207142,396,495,36047,585658,18403,78
2.4829349518,24,20,3347,6202,13403,79
117.6216781139,64,76,10786,54455,17403,80
133.350082159,75,74,25471,12804,17403,81
5.4130558968,706,2594,60769,3645255,17403,82
0.3681020737,32,40,3804,34936,13403,83
60.1377949715,1635,2489,125471,3483627,17403,84
130.3860521317,148,211,12817,235672,18403,85
0.341725111,15,16,2041,6239,17403,86
54.7875509262,1701,4625,124390,6511057,17403,87
163.1490273476,116,137,27597,81987,17403,88
162.8412277699,580,729,53179,917204,18403,89
60.2287633419,1828,3573,138599,5030422,17403,90
5.0266828537,333,386,30109,535027,17403,91
165.0777919292,75,75,25665,12664,17403,92
0.3212711811,16,17,2084,5777,17403,93
0.3817329407,39,40,4422,34937,13403,94
0.3152468204,16,17,2617,5697,13403,95
0.4496259689,17,14,2132,5420,18403,96
0.2867763042,18,21,2206,9815,13403,97
0.9640772343,18,16,2272,11501,17403,98
0.4753601551,18,15,2291,5650,13403,99
0.4111537933,31,30,3210,29923,13403,100
0.2891905308,15,18,2041,9150,13403,101
241.1996221542,96,89,20225,54652,13403,102
242.5747938156,104,128,25846,79327,17403,103
241.8425059319,568,787,50707,933676,18403,104
5.680356741,1541,2602,124271,3638611,17403,105
5.659368515,578,1750,43279,2465117,17403,106
60.3899393082,1340,2131,113499,2970653,17403,107
253.0898928642,85,86,30737,14218,17403,108
240.4273779392,22,18,2816,5966,13403,109
241.1973896027,197,213,20083,253186,13403,110
240.2993030548,19,19,2282,5979,17403,111
240.2780218124,34,41,4005,35071,13403,112
240.3282649517,18,19,2239,6508,17403,113
0.9702489376,18,16,2274,11501,17403,114
0.383220911,114,145,15085,145658,18403,115
0.3064031601,21,26,2454,16375,18403,116
0.509912014,18,15,2337,7347,13403,117
146.8266849518,120,146,25341,93365,17403,118
146.5104372501,589,730,54860,882212,18403,119
5.6062192917,2127,3401,163752,4769378,17403,120
145.3694391251,68,69,23485,12319,17403,121
0.4445750713,17,14,2502,5548,13403,122
3.6245942116,79,70,18878,33658,13403,123
0.2995200157,17,17,2150,5778,17403,124
0.3471012115,34,41,4005,35004,13403,125
0.3333039284,17,17,2779,5698,13403,126
0.5220320225,17,13,2132,5354,18403,127
0.4297749996,50,52,4385,60564,13403,128
0.3231277466,18,20,3903,8413,13403,129
54.5012950897,1588,3562,123747,5010926,17403,130
0.3241109848,17,17,2262,6338,13403,131
0.3394169807,18,18,2328,6406,13403,132
0.4553971291,18,15,2291,5650,13403,133
0.692898035,25,22,5187,10048,13403,134
0.9604668617,17,16,2210,11501,17403,135
0.3965957165,30,30,3144,29922,13403,136
0.2715001106,18,19,2239,9215,13403,137
0.3217878342,16,17,2244,6066,13403,138
0.448319912,125,151,16018,163398,18403,139
0.5646281242,8,6,1099,4325,14202,140
5279.431527853,1104,2566,134701,2473751,16202,141
1235.2725768089,251,566,30120,528871,16202,142
1.0505180359,9,8,2655,4894,14202,143
1.0472490788,9,8,2415,4910,14202,144
10.159952879,11,9,1767,5566,14202,145
10.1592926979,8,6,807,4278,14202,146
10.1590399742,10,7,1544,5121,14202,147
7.3014743328,10,12,1289,5574,16202,148
4529.9964146614,936,2249,116880,2170601,16202,149
1.0660758018,12,17,4172,15340,14202,150
1.0389449596,9,8,2655,4910,14202,151
54034.3308660984,18073,28086,9973792,9744056,16202,152
14.2767972946,102,359,8258,485062,16202,153
12.1481571198,54,163,5515,210568,16202,154
7.3045241833,15,29,1647,29002,16202,155
66.462074995,28,44,3733,19100,13202,156
118.9004993439,28,36,3379,18569,16202,157
118.7426362038,22,25,2272,8999,16202,158
181.5935609341,23,25,2838,6246,16202,159
7.389480114,16,30,2293,28698,16202,160
116.6012420654,778,2474,49032,3470039,18202,161
7.3159410954,10,12,1321,5583,16202,162
7375.9256641865,1461,3561,183064,3420265,16202,163
0.8814432621,10,9,2469,5812,14202,164
0.8308899403,9,8,2415,4910,14202,165
1.0651519299,9,6,1802,3416,14202,166
0.9735751152,10,5,1856,3356,14202,167
1270.1762752533,259,621,32229,593408,16202,168
0.5760140419,8,7,2542,4684,14202,169
0.8352239132,10,9,2469,5796,14202,170
2.7986381054,8,9,1093,5726,14202,171
0.9813020229,9,5,1802,3356,14202,172
0.8300292492,9,8,2415,4910,14202,173
6840.1373591423,1393,3317,172590,3196721,16202,174
2.9620471001,8,7,1004,4849,14202,175
